4594	0.49	0.30	0.55	0.18	0.06
4609	0.48	0.32	0.68	0.30	0.06
4625	0.37	0.32	0.74	0.30	0.07
4641	0.47	0.31	0.79	0.20	0.07
4656	0.59	0.31	0.88	0.19	0.07
4672	0.50	0.30	0.73	0.24	0.06
4688	0.54	0.33	0.44	0.27	0.07
4703	0.63	0.56	0.50	0.23	0.06
4719	0.63	0.64	0.47	0.16	0.06
4734	0.60	0.41	0.33	0.18	0.06
4750	0.66	0.32	0.48	0.19	0.05
4766	0.64	0.31	0.65	0.18	0.05
4781	0.63	0.33	0.68	0.14	0.05
4797	0.59	0.35	0.66	0.12	0.06
4813	0.57	0.31	0.73	0.12	0.07
4828	0.73	0.30	0.67	0.13	0.07
4844	0.78	0.39	0.56	0.12	0.06
4859	0.60	0.44	0.52	0.09	0.06
4875	0.57	0.42	0.56	0.11	0.05
4891	0.56	0.36	0.61	0.13	0.05
4906	0.64	0.40	0.60	0.13	0.05
4922	0.70	0.43	0.71	0.11	0.06
4938	0.99	0.38	0.86	0.10	0.06
4953	1.05	0.37	0.87	0.10	0.07
4969	0.87	0.41	0.94	0.10	0.08
4984	0.77	0.42	0.90	0.11	0.08
5000	0.75	0.39	0.72	0.11	0.06
5016	0.88	0.36	0.77	0.10	0.06
5031	0.92	0.32	0.92	0.11	0.07
5047	1.10	0.30	0.83	0.10	0.06
5063	1.34	0.31	0.61	0.08	0.07
5078	1.01	0.31	0.75	0.09	0.07
5094	0.46	0.30	0.83	0.11	0.07
5109	0.58	0.31	0.62	0.11	0.08
5125	0.65	0.30	0.52	0.09	0.08
5141	0.60	0.29	0.73	0.09	0.08
5156	0.62	0.30	1.14	0.10	0.09
5172	0.55	0.32	1.35	0.10	0.09
5188	0.64	0.32	1.11	0.10	0.06
5203	0.83	0.31	0.73	0.12	0.06
5219	0.66	0.30	0.47	0.13	0.07
5234	0.86	0.30	0.36	0.12	0.07
5250	1.06	0.30	0.31	0.10	0.06
5266	0.90	0.33	0.26	0.10	0.06
5281	0.81	0.34	0.37	0.13	0.06
5297	0.91	0.31	0.50	0.13	0.05
5313	0.77	0.30	0.47	0.13	0.05
5328	0.78	0.31	0.43	0.15	0.06
5344	0.88	0.31	0.45	0.16	0.06
5359	0.82	0.30	0.50	0.13	0.06
5375	0.61	0.29	0.41	0.12	0.06
5391	0.57	0.30	0.32	0.12	0.07
5406	0.60	0.31	0.36	0.10	0.07
5422	0.60	0.27	0.45	0.09	0.06
5438	0.65	0.26	0.64	0.09	0.05
5453	0.81	0.26	0.62	0.11	0.06
5469	0.71	0.26	0.55	0.11	0.05
5484	0.47	0.26	0.71	0.11	0.05
5500	0.62	0.24	0.71	0.11	0.05
5516	0.59	0.28	0.65	0.12	0.06
5531	0.64	0.28	0.66	0.13	0.07
5547	0.84	0.29	0.72	0.14	0.07
5563	1.08	0.31	0.77	0.15	0.07
5578	1.14	0.27	0.92	0.14	0.06
5594	1.05	0.35	0.99	0.12	0.05
